Time,X(CH1),
Second,Volt,
-1.8800001e-01,7.99990e-03,
-1.8700001e-01,-8.00014e-03,
-1.8600000e-01,7.99990e-03,
-1.8500000e-01,-8.00014e-03,
-1.8400000e-01,-8.00014e-03,
-1.8300000e-01,2.39999e-02,
-1.8200000e-01,-8.00014e-03,
-1.8099999e-01,1.59999e-02,
-1.7999999e-01,-8.00014e-03,
-1.7899999e-01,1.59999e-02,
-1.7799999e-01,-8.00014e-03,
-1.7699999e-01,7.99990e-03,
-1.7599998e-01,-8.00014e-03,
-1.7499998e-01,7.99990e-03,
-1.7399998e-01,-8.00014e-03,
-1.7299998e-01,1.59999e-02,
-1.7199998e-01,7.99990e-03,
-1.7099997e-01,-8.00014e-03,
-1.6999997e-01,-8.00014e-03,
-1.6899997e-01,1.59999e-02,
-1.6799997e-01,7.99990e-03,
-1.6699997e-01,-8.00014e-03,
-1.6599996e-01,7.99990e-03,
-1.6499996e-01,-8.00014e-03,
-1.6399996e-01,-8.00014e-03,
-1.6299996e-01,1.59999e-02,
-1.6199996e-01,-8.00014e-03,
-1.6099995e-01,1.59999e-02,
-1.5999995e-01,-8.00014e-03,
-1.5899995e-01,1.59999e-02,
-1.5799995e-01,-8.00014e-03,
-1.5699995e-01,1.59999e-02,
-1.5599994e-01,7.99990e-03,
-1.5499994e-01,-8.00014e-03,
-1.5399994e-01,7.99990e-03,
-1.5299994e-01,-8.00014e-03,
-1.5199994e-01,7.99990e-03,
-1.5099993e-01,-8.00014e-03,
-1.4999993e-01,7.99990e-03,
-1.4899993e-01,-8.00014e-03,
-1.4799993e-01,7.99990e-03,
-1.4699993e-01,-8.00014e-03,
-1.4599992e-01,7.99990e-03,
-1.4499992e-01,-8.00014e-03,
-1.4399992e-01,-8.00014e-03,
-1.4299992e-01,1.59999e-02,
-1.4199992e-01,7.99990e-03,
-1.4099991e-01,-8.00014e-03,
-1.3999991e-01,7.99990e-03,
-1.3899991e-01,-8.00014e-03,
-1.3799991e-01,-1.60002e-02,
-1.3699991e-01,1.59999e-02,
-1.3599990e-01,-8.00014e-03,
-1.3499990e-01,1.59999e-02,
-1.3399990e-01,-8.00014e-03,
-1.3299990e-01,7.99990e-03,
-1.3199989e-01,-8.00014e-03,
-1.3099989e-01,7.99990e-03,
-1.2999989e-01,-8.00014e-03,
-1.2899989e-01,1.59999e-02,
-1.2799989e-01,-8.00014e-03,
-1.2699988e-01,1.59999e-02,
-1.2599988e-01,7.99990e-03,
-1.2499988e-01,-8.00014e-03,
-1.2399988e-01,7.99990e-03,
-1.2299988e-01,-8.00014e-03,
-1.2199987e-01,-8.00014e-03,
-1.2099987e-01,1.59999e-02,
-1.1999987e-01,-8.00014e-03,
-1.1899987e-01,7.99990e-03,
-1.1799987e-01,7.99990e-03,
-1.1699986e-01,-8.00014e-03,
-1.1599986e-01,-8.00014e-03,
-1.1499986e-01,7.99990e-03,
-1.1399986e-01,-8.00014e-03,
-1.1299986e-01,1.59999e-02,
-1.1199985e-01,7.99990e-03,
-1.1099985e-01,-8.00014e-03,
-1.0999985e-01,7.99990e-03,
-1.0899985e-01,-8.00014e-03,
-1.0799985e-01,-8.00014e-03,
-1.0699984e-01,1.59999e-02,
-1.0599984e-01,-8.00014e-03,
-1.0499984e-01,1.59999e-02,
-1.0399984e-01,-8.00014e-03,
-1.0299984e-01,7.99990e-03,
-1.0199983e-01,-8.00014e-03,
-1.0099983e-01,1.59999e-02,
-9.9999830e-02,7.99990e-03,
-9.8999828e-02,-8.00014e-03,
-9.7999826e-02,-8.00014e-03,
-9.6999824e-02,7.99990e-03,
-9.5999822e-02,7.99990e-03,
-9.4999820e-02,-8.00014e-03,
-9.3999818e-02,-8.00014e-03,
-9.2999816e-02,7.99990e-03,
-9.1999814e-02,-8.00014e-03,
-9.0999812e-02,1.59999e-02,
-8.9999810e-02,-8.00014e-03,
-8.8999808e-02,1.59999e-02,
-8.7999806e-02,7.99990e-03,
-8.6999804e-02,-8.00014e-03,
-8.5999802e-02,-8.00014e-03,
-8.4999800e-02,1.59999e-02,
-8.3999798e-02,-8.00014e-03,
-8.2999796e-02,1.59999e-02,
-8.1999794e-02,-8.00014e-03,
-8.0999792e-02,1.59999e-02,
-7.9999790e-02,-8.00014e-03,
-7.8999788e-02,7.99990e-03,
-7.7999786e-02,-8.00014e-03,
-7.6999784e-02,1.59999e-02,
-7.5999781e-02,7.99990e-03,
-7.4999779e-02,-8.00014e-03,
-7.3999777e-02,7.99990e-03,
-7.2999775e-02,-8.00014e-03,
-7.1999773e-02,-8.00014e-03,
-7.0999771e-02,1.59999e-02,
-6.9999769e-02,7.99990e-03,
-6.8999767e-02,-8.00014e-03,
-6.7999765e-02,7.99990e-03,
-6.6999763e-02,-8.00014e-03,
-6.5999761e-02,-8.00014e-03,
-6.4999759e-02,7.99990e-03,
-6.3999757e-02,-8.00014e-03,
-6.2999755e-02,1.59999e-02,
-6.1999757e-02,7.99990e-03,
-6.0999759e-02,-8.00014e-03,
-5.9999760e-02,7.99990e-03,
-5.8999762e-02,-8.00014e-03,
-5.7999764e-02,7.99990e-03,
-5.6999765e-02,-8.00014e-03,
-5.5999767e-02,7.99990e-03,
-5.4999769e-02,-8.00014e-03,
-5.3999770e-02,7.99990e-03,
-5.2999772e-02,-8.00014e-03,
-5.1999774e-02,7.99990e-03,
-5.0999776e-02,-8.00014e-03,
-4.9999777e-02,-8.00014e-03,
-4.8999779e-02,1.59999e-02,
-4.7999781e-02,7.99990e-03,
-4.6999782e-02,-1.60002e-02,
-4.5999784e-02,-8.00014e-03,
-4.4999786e-02,1.59999e-02,
-4.3999787e-02,7.99990e-03,
-4.2999789e-02,-8.00014e-03,
-4.1999791e-02,-8.00014e-03,
-4.0999793e-02,7.99990e-03,
-3.9999794e-02,7.99990e-03,
-3.8999796e-02,-8.00014e-03,
-3.7999798e-02,7.99990e-03,
-3.6999799e-02,-8.00014e-03,
-3.5999801e-02,7.99990e-03,
-3.4999803e-02,-8.00014e-03,
-3.3999804e-02,7.99990e-03,
-3.2999806e-02,-8.00014e-03,
-3.1999808e-02,7.99990e-03,
-3.0999808e-02,-8.00014e-03,
-2.9999807e-02,7.99990e-03,
-2.8999807e-02,-8.00014e-03,
-2.7999807e-02,7.99990e-03,
-2.6999807e-02,-8.00014e-03,
-2.5999807e-02,7.99990e-03,
-2.4999807e-02,-8.00014e-03,
-2.3999806e-02,-8.00014e-03,
-2.2999806e-02,1.59999e-02,
-2.1999806e-02,-8.00014e-03,
-2.0999806e-02,1.59999e-02,
-1.9999806e-02,-8.00014e-03,
-1.8999806e-02,7.99990e-03,
-1.7999806e-02,1.59999e-02,
-1.6999805e-02,-8.00014e-03,
-1.5999805e-02,-8.00014e-03,
-1.4999805e-02,1.59999e-02,
-1.3999805e-02,7.99990e-03,
-1.2999805e-02,-8.00014e-03,
-1.1999805e-02,7.99990e-03,
-1.0999804e-02,-8.00014e-03,
-9.9998042e-03,7.99990e-03,
-8.9998040e-03,-8.00014e-03,
-7.9998039e-03,-8.00014e-03,
-6.9998037e-03,7.99990e-03,
-5.9998035e-03,-8.00014e-03,
-4.9998034e-03,1.59999e-02,
-3.9998032e-03,-8.00014e-03,
-2.9998031e-03,7.99990e-03,
-1.9998029e-03,-8.00014e-03,
-9.9980284e-04,7.99990e-03,
1.9720756e-07,-8.00014e-03,
1.0001973e-03,4.88000e-01,
2.0001973e-03,4.88000e-01,
3.0001975e-03,4.80000e-01,
4.0001976e-03,4.80000e-01,
5.0001978e-03,4.88000e-01,
6.0001980e-03,4.88000e-01,
7.0001981e-03,4.80000e-01,
8.0001978e-03,4.80000e-01,
9.0001980e-03,4.88000e-01,
1.0000198e-02,4.80000e-01,
1.1000198e-02,4.96000e-01,
1.2000198e-02,4.80000e-01,
1.3000199e-02,4.96000e-01,
1.4000199e-02,4.88000e-01,
1.5000199e-02,4.80000e-01,
1.6000198e-02,4.88000e-01,
1.7000198e-02,4.80000e-01,
1.8000199e-02,4.80000e-01,
1.9000199e-02,4.96000e-01,
2.0000199e-02,4.80000e-01,
2.1000199e-02,4.96000e-01,
2.2000199e-02,4.80000e-01,
2.3000199e-02,4.88000e-01,
2.4000200e-02,4.80000e-01,
2.5000200e-02,4.88000e-01,
2.6000200e-02,4.88000e-01,
2.7000200e-02,4.80000e-01,
2.8000200e-02,4.80000e-01,
2.9000200e-02,4.88000e-01,
3.0000200e-02,4.80000e-01,
3.1000201e-02,4.96000e-01,
3.2000199e-02,4.88000e-01,
3.3000197e-02,4.72000e-01,
3.4000196e-02,4.88000e-01,
3.5000194e-02,4.80000e-01,
3.6000192e-02,4.88000e-01,
3.7000190e-02,4.80000e-01,
3.8000189e-02,4.80000e-01,
3.9000187e-02,4.88000e-01,
4.0000185e-02,4.80000e-01,
4.1000184e-02,4.88000e-01,
4.2000182e-02,4.80000e-01,
4.3000180e-02,4.96000e-01,
4.4000179e-02,4.80000e-01,
4.5000177e-02,4.96000e-01,
4.6000175e-02,4.80000e-01,
4.7000173e-02,4.88000e-01,
4.8000172e-02,4.80000e-01,
4.9000170e-02,4.88000e-01,
5.0000168e-02,4.80000e-01,
5.1000167e-02,4.88000e-01,
5.2000165e-02,4.88000e-01,
5.3000163e-02,4.72000e-01,
5.4000162e-02,4.80000e-01,
5.5000160e-02,4.88000e-01,
5.6000158e-02,4.80000e-01,
5.7000156e-02,4.96000e-01,
5.8000155e-02,4.80000e-01,
5.9000153e-02,4.96000e-01,
6.0000151e-02,4.88000e-01,
6.1000150e-02,4.80000e-01,
6.2000148e-02,4.96000e-01,
6.3000150e-02,4.72000e-01,
6.4000152e-02,4.80000e-01,
6.5000154e-02,4.96000e-01,
6.6000156e-02,4.88000e-01,
6.7000158e-02,4.80000e-01,
6.8000160e-02,4.80000e-01,
6.9000162e-02,4.96000e-01,
7.0000164e-02,4.88000e-01,
7.1000166e-02,4.80000e-01,
7.2000168e-02,4.80000e-01,
7.3000170e-02,4.96000e-01,
7.4000172e-02,4.88000e-01,
7.5000174e-02,4.80000e-01,
7.6000176e-02,4.80000e-01,
7.7000178e-02,4.96000e-01,
7.8000180e-02,4.96000e-01,
7.9000182e-02,4.72000e-01,
8.0000184e-02,4.80000e-01,
8.1000187e-02,4.96000e-01,
8.2000189e-02,4.88000e-01,
8.3000191e-02,4.80000e-01,
8.4000193e-02,4.80000e-01,
8.5000195e-02,4.96000e-01,
8.6000197e-02,4.80000e-01,
8.7000199e-02,4.96000e-01,
8.8000201e-02,4.80000e-01,
8.9000203e-02,4.96000e-01,
9.0000205e-02,4.80000e-01,
9.1000207e-02,4.96000e-01,
9.2000209e-02,4.80000e-01,
9.3000211e-02,4.96000e-01,
9.4000213e-02,4.80000e-01,
9.5000215e-02,4.88000e-01,
9.6000217e-02,4.88000e-01,
9.7000219e-02,4.80000e-01,
9.8000221e-02,4.96000e-01,
9.9000223e-02,4.72000e-01,
1.0000023e-01,4.88000e-01,
1.0100023e-01,-8.00014e-03,
1.0200023e-01,7.99990e-03,
1.0300023e-01,-8.00014e-03,
1.0400023e-01,-8.00014e-03,
1.0500024e-01,1.59999e-02,
1.0600024e-01,1.59999e-02,
1.0700024e-01,-8.00014e-03,
1.0800024e-01,7.99990e-03,
1.0900024e-01,-8.00014e-03,
1.1000025e-01,7.99990e-03,
1.1100025e-01,-8.00014e-03,
1.1200025e-01,-8.00014e-03,
1.1300025e-01,1.59999e-02,
1.1400025e-01,7.99990e-03,
1.1500026e-01,-8.00014e-03,
